mu,rho,bw_opt,loss,joint_pass
1.6394736842105262,2.205263157894737,6.978939711642285e-05,0.6009268956294437,0
1.65,2.205263157894737,7.432649307764023e-05,0.6012310257647872,0
1.45,2.2315789473684213,7.31488144955514e-05,0.4564706404820512,0
1.4605263157894737,2.2315789473684213,3.4404912655452024e-05,0.4564666131781502,0
1.4710526315789474,2.2315789473684213,2.433773718569521e-05,0.45652924406259116,0
1.481578947368421,2.2315789473684213,2.6798455321385918e-05,0.4566512394926282,0
1.4921052631578946,2.2315789473684213,6.798521376003641e-05,0.45682174113946283,0
1.5026315789473683,2.2315789473684213,8.371585652423668e-05,0.45702957210481887,0
1.513157894736842,2.2315789473684213,7.979851250689102e-05,0.45726514214745484,0
1.5236842105263158,2.2315789473684213,5.906270113379392e-05,0.4575209795138163,0
1.5342105263157895,2.2315789473684213,5.708055782799943e-05,0.4577915345009477,0
1.5495,2.2315789473684213,5.9494392744385045e-05,0.4582027081221143,0
1.5552631578947367,2.2315789473684213,5.906039865442177e-05,0.4583617337225879,0
1.5657894736842104,2.2315789473684213,2.4894469803608145e-05,0.45865630056837986,0
1.5763157894736841,2.2315789473684213,6.454475909859794e-05,0.45895488613085655,0
1.5868421052631578,2.2315789473684213,5.469849192654607e-05,0.4592563135076001,0
1.5973684210526315,2.2315789473684213,4.791271773864696e-05,0.4595596946910274,0
1.6078947368421053,2.2315789473684213,6.138370548097163e-05,0.45986435171225526,0
1.6184210526315788,2.2315789473684213,6.733278119458896e-05,0.4601697611849467,0
1.6289473684210525,2.2315789473684213,7.725180723139015e-05,0.4604755149173648,0
1.6394736842105262,2.2315789473684213,6.4512842130346e-05,0.4607812916166455,0
1.65,2.2315789473684213,3.3296196982546784e-05,0.46108683631730296,0
1.45,2.2578947368421054,6.783102423583576e-05,0.34709803416328033,0
1.4605263157894737,2.2578947368421054,6.161134398969367e-05,0.34693713566139295,0
1.4710526315789474,2.2578947368421054,7.634087790736477e-05,0.34685074733751076,0
1.481578947368421,2.2578947368421054,2.697898126884963e-05,0.3468511181077031,0
1.4921052631578946,2.2578947368421054,2.3170216431094045e-05,0.34693661255633257,0
1.5026315789473683,2.2578947368421054,5.595129155665361e-05,0.3470925183431397,0
1.513157894736842,2.2578947368421054,6.822849980068761e-05,0.34729981104619045,0
1.5236842105263158,2.2578947368421054,3.796879978175425e-05,0.3475421542863829,0
1.5342105263157895,2.2578947368421054,4.133423152967119e-05,0.3478078157328424,0
1.5495,2.2578947368421054,4.9399360047777724e-05,0.34821978881913507,0
1.5552631578947367,2.2578947368421054,3.256829936322638e-05,0.34838039889480693,0
1.5657894736842104,2.2578947368421054,5.648801265660408e-05,0.34867875223002903,0
1.5763157894736841,2.2578947368421054,2.682617216602915e-05,0.34898170912089926,0
1.5868421052631578,2.2578947368421054,8.296705168082041e-05,0.3492876860318028,0
1.5973684210526315,2.2578947368421054,2.7879698121406477e-05,0.34959556901481925,0
1.6078947368421053,2.2578947368421054,2.9456248408576814e-05,0.3499045584891236,0
1.6184210526315788,2.2578947368421054,1.976571346699223e-05,0.35021406995603277,0
1.6289473684210525,2.2578947368421054,2.240877816816951e-05,0.3505236691928364,0
1.6394736842105262,2.2578947368421054,3.1901796121934996e-05,0.35083302905920655,0
1.65,2.2578947368421054,5.338151823942483e-05,0.35114190011625634,0
