material,wavelength_nm,n_ref,k_ref,eta_target,mu_fit,rho_fit,eta_fit,material_bias,n_model,n_err
kdemo,550.0,1.492,5.5e-09,6.283185307179585e-08,1.5266666412353516,2.683333158493042,0.01666666753590107,-0.029535889625549316,1.492041826248169,4.184246063232422e-05
kdemo,600.0,1.49,4e-09,4.1887902047863906e-08,1.5266666412353516,2.683333158493042,0.01666666753590107,-0.029535889625549316,1.492475986480713,0.0024759769439697266
kdemo,650.0,1.488,3.2e-09,3.0932604589191806e-08,1.5266666412353516,2.683333158493042,0.01666666753590107,-0.029535889625549316,1.4938005208969116,0.005800485610961914
gaas,450.0,4.42,1.9,2.0,2.8533332347869873,2.931666612625122,1.6333333253860474,-0.00039136409759521484,4.455204010009766,0.03520393371582031
gaas,500.0,4.18,1.45,2.0,2.8533332347869873,2.931666612625122,1.566666603088379,-0.00039136409759521484,4.234437465667725,0.05443763732910156
gaas,550.0,3.95,1.08,2.0,2.8533332347869873,2.931666612625122,1.5,-0.00039136409759521484,4.018218040466309,0.06821799278259277
gaas,600.0,3.78,0.74,2.0,2.8533332347869873,2.931666612625122,1.5,-0.00039136409759521484,3.8650598526000977,0.08505988121032715
gaas,650.0,3.66,0.47,2.0,2.8533332347869873,2.931666612625122,1.5333333015441895,-0.00039136409759521484,3.7265305519104004,0.06653046607971191
gaas,700.0,3.58,0.28,2.0,3.184999942779541,3.179999828338623,1.5333333015441895,-0.00039136409759521484,3.617525100708008,0.037525177001953125
gaas,800.0,3.5,0.12,0.9424777960769378,3.5166666507720947,3.428333282470703,1.5,-0.00039136409759521484,3.379800796508789,-0.12019920349121094
gaas,900.0,3.45,0.06,0.418879020478639,3.8483331203460693,3.428333282470703,1.5,-0.00039136409759521484,3.2232232093811035,-0.2267768383026123
air,450.0,1.00028,0.0,0.0,0.20000000298023224,2.683333158493042,0.0,-0.01028780173510313,1.0008647441864014,0.000584721565246582
air,550.0,1.00027,0.0,0.0,0.20000000298023224,2.683333158493042,0.0,-0.01028780173510313,0.9990906119346619,-0.0011793971061706543
air,650.0,1.00027,0.0,0.0,0.20000000298023224,2.683333158493042,0.0,-0.01028780173510313,1.0008647441864014,0.0005947351455688477
water,450.0,1.34,0.0,0.0,0.8633332848548889,2.683333158493042,0.0,-0.0027266342658549547,1.3355913162231445,-0.004408717155456543
water,550.0,1.334,0.0,0.0,0.8633332848548889,2.683333158493042,0.0,-0.0027266342658549547,1.3338172435760498,-0.00018274784088134766
water,650.0,1.331,0.0,0.0,0.8633332848548889,2.683333158493042,0.0,-0.0027266342658549547,1.3355913162231445,0.00459134578704834
metalx,420.0,1.1,3.2,2.0,0.20000000298023224,2.683333158493042,0.1666666716337204,-0.1326664686203003,1.2429662942886353,0.14296627044677734
metalx,480.0,1.25,2.8,2.0,0.20000000298023224,2.683333158493042,0.23333334922790527,-0.1326664686203003,1.332251787185669,0.08225178718566895
metalx,540.0,1.45,2.35,2.0,0.20000000298023224,2.683333158493042,0.36666667461395264,-0.1326664686203003,1.5127087831497192,0.06270873546600342
metalx,620.0,1.7,1.95,2.0,0.20000000298023224,2.683333158493042,0.5333333611488342,-0.1326664686203003,1.727870225906372,0.02787017822265625
metalx,700.0,2.05,1.55,2.0,0.20000000298023224,2.683333158493042,0.8000000715255737,-0.1326664686203003,2.0575318336486816,0.007531881332397461
metalx,820.0,2.55,1.1,2.0,0.20000000298023224,2.683333158493042,1.1333332061767578,-0.1326664686203003,2.4116697311401367,-0.13833022117614746
metalx,950.0,2.95,0.75,2.0,0.53166663646698,2.683333158493042,1.366666555404663,-0.1326664686203003,2.7650012969970703,-0.1849987506866455
ultralowk,400.0,1.02,1e-10,1.5707963267948966e-09,0.20000000298023224,2.434999942779541,0.03333333507180214,-0.04749143123626709,1.0107440948486328,-0.00925588607788086
ultralowk,460.0,1.015,8e-11,1.0927278795094931e-09,0.20000000298023224,2.434999942779541,0.03333333507180214,-0.04749143123626709,1.007982611656189,-0.007017374038696289
ultralowk,520.0,1.012,6e-11,7.24982920059183e-10,0.20000000298023224,2.434999942779541,0.01666666753590107,-0.04749143123626709,1.0058605670928955,-0.006139397621154785
ultralowk,600.0,1.01,4e-11,4.18879020478639e-10,0.20000000298023224,2.434999942779541,0.01666666753590107,-0.04749143123626709,1.0049922466278076,-0.005007743835449219
ultralowk,700.0,1.008,3e-11,2.692793703076965e-10,0.20000000298023224,2.434999942779541,0.01666666753590107,-0.04749143123626709,1.0063434839248657,-0.0016565322875976562
ultralowk,850.0,1.006,2.2e-11,1.6262361971523635e-10,0.20000000298023224,2.434999942779541,0.01666666753590107,-0.04749143123626709,1.013444185256958,0.007444143295288086
ultralowk,1000.0,1.005,1.8e-11,1.1309733552923252e-10,0.20000000298023224,2.434999942779541,0.01666666753590107,-0.04749143123626709,1.0266327857971191,0.021632790565490723
highnlowk,430.0,3.9,0.0009,0.013150852968515411,6.8333330154418945,5.414999485015869,0.20000001788139343,0.011596066877245903,3.63932204246521,-0.2606780529022217
highnlowk,500.0,3.75,0.0007,0.00879645943005142,6.501666069030762,5.414999485015869,0.18333333730697632,0.011596066877245903,3.585421562194824,-0.16457843780517578
highnlowk,580.0,3.6,0.0005,0.005416539057913436,6.169999599456787,5.414999485015869,0.1666666716337204,0.011596066877245903,3.532150983810425,-0.06784892082214355
highnlowk,660.0,3.48,0.00038,0.003617591540497337,5.838332653045654,5.414999485015869,0.13333334028720856,0.011596066877245903,3.4806549549102783,0.0006549358367919922
highnlowk,760.0,3.38,0.00027,0.0022321842538664317,5.838332653045654,5.166666030883789,0.11666667461395264,0.011596066877245903,3.4599783420562744,0.07997822761535645
highnlowk,880.0,3.3,0.00019,0.0013565968276865014,5.838332653045654,5.166666030883789,0.10000000894069672,0.011596066877245903,3.4673359394073486,0.16733598709106445
highnlowk,1020.0,3.24,0.00013,0.0008007981273856334,5.838332653045654,5.166666030883789,0.0833333358168602,0.011596066877245903,3.485135555267334,0.24513554573059082
midkcurve,410.0,2.4,0.42,2.0,0.53166663646698,2.683333158493042,1.0999999046325684,-0.06683816015720367,2.391050100326538,-0.008949995040893555
midkcurve,470.0,2.33,0.36,2.0,0.8633332848548889,2.683333158493042,1.0333333015441895,-0.06683816015720367,2.418642282485962,0.08864235877990723
midkcurve,530.0,2.29,0.31,2.0,0.8633332848548889,2.683333158493042,1.0,-0.06683816015720367,2.3459465503692627,0.05594658851623535
midkcurve,610.0,2.26,0.24,2.0,1.1949999332427979,2.683333158493042,0.9666666984558105,-0.06683816015720367,2.3690903186798096,0.10909032821655273
midkcurve,690.0,2.3,0.19,1.7301524758900306,1.1949999332427979,2.683333158493042,0.9666666984558105,-0.06683816015720367,2.316713809967041,0.016713857650756836
midkcurve,790.0,2.38,0.14,1.1134758772216988,1.1949999332427979,2.683333158493042,1.0,-0.06683816015720367,2.279517889022827,-0.10048222541809082
midkcurve,920.0,2.5,0.1,0.6829549246934332,1.5266666412353516,2.683333158493042,1.0333333015441895,-0.06683816015720367,2.339038372039795,-0.16096162796020508
