material,wavelength_nm,n_ref,k_ref,eta_target,mu_fit,rho_fit,eta_fit,material_bias,material_tilt,n_model,n_err
air,650.0,1.00027,0.0,0.0,1.5266666412353516,2.683333158493042,0.0,-0.6902539134025574,0.0,1.0008647441864014,0.0005947351455688477
water,450.0,1.34,0.0,0.0,2.18999981880188,2.683333158493042,0.0,-0.5244559645652771,0.0,1.3355913162231445,-0.004408717155456543
water,550.0,1.334,0.0,0.0,2.18999981880188,2.683333158493042,0.0,-0.5244559645652771,0.0,1.3338172435760498,-0.00018274784088134766
water,650.0,1.331,0.0,0.0,2.18999981880188,2.683333158493042,0.0,-0.5244559645652771,0.0,1.3355913162231445,0.00459134578704834
metalx,420.0,1.45,0.12,1.7951958020513101,0.53166663646698,2.931666612625122,2.1466665267944336,-1.88687002658844,0.0,1.1553679704666138,-0.29463207721710205
metalx,500.0,1.62,0.55,2.8,0.20000000298023224,2.931666612625122,2.0999999046325684,-1.88687002658844,0.0,1.6721802949905396,0.05218029022216797
metalx,580.0,1.88,1.05,2.8,0.20000000298023224,2.931666612625122,2.053333282470703,-1.88687002658844,0.0,1.9619911909103394,0.08199119567871094
metalx,660.0,2.12,1.55,2.8,0.20000000298023224,2.931666612625122,2.053333282470703,-1.88687002658844,0.0,2.181610584259033,0.06161069869995117
metalx,740.0,2.35,2.05,2.8,0.20000000298023224,2.931666612625122,2.0999999046325684,-1.88687002658844,0.0,2.415748119354248,0.06574821472167969
metalx,820.0,2.52,2.45,2.8,0.20000000298023224,2.931666612625122,2.0999999046325684,-1.88687002658844,0.0,2.529308319091797,0.009308338165283203
metalx,920.0,2.68,2.85,2.8,0.20000000298023224,2.931666612625122,2.1466665267944336,-1.88687002658844,0.0,2.7037925720214844,0.023792505264282227
ultralowk,400.0,1.02,1e-10,1.5707963267948966e-09,2.18999981880188,2.683333158493042,0.03333333507180214,-0.8541231155395508,0.0,1.0108031034469604,-0.009196877479553223
ultralowk,460.0,1.015,8e-11,1.0927278795094931e-09,2.18999981880188,2.683333158493042,0.03333333507180214,-0.8541231155395508,0.0,1.0077601671218872,-0.007239818572998047
ultralowk,520.0,1.012,6e-11,7.24982920059183e-10,2.18999981880188,2.683333158493042,0.01666666753590107,-0.8541231155395508,0.0,1.0054559707641602,-0.006543993949890137
ultralowk,600.0,1.01,4e-11,4.18879020478639e-10,2.18999981880188,2.683333158493042,0.01666666753590107,-0.8541231155395508,0.0,1.0044994354248047,-0.0055005550384521484
ultralowk,700.0,1.008,3e-11,2.692793703076965e-10,2.18999981880188,2.683333158493042,0.01666666753590107,-0.8541231155395508,0.0,1.005988597869873,-0.002011418342590332
ultralowk,850.0,1.006,2.2e-11,1.6262361971523635e-10,2.18999981880188,2.683333158493042,0.0,-0.8541231155395508,0.0,1.0134795904159546,0.007479548454284668
ultralowk,1000.0,1.005,1.8e-11,1.1309733552923252e-10,2.18999981880188,2.683333158493042,0.0,-0.8541231155395508,0.0,1.0280134677886963,0.02301347255706787
highnlowk,430.0,3.9,0.0009,0.013150852968515411,5.174999713897705,3.924999952316284,0.0650000050663948,1.1783112287521362,0.0,3.6875667572021484,-0.2124333381652832
highnlowk,500.0,3.75,0.0007,0.00879645943005142,4.843332767486572,3.924999952316284,0.0650000050663948,1.1783112287521362,0.0,3.6331663131713867,-0.11683368682861328
highnlowk,580.0,3.6,0.0005,0.005416539057913436,4.511666297912598,3.924999952316284,0.0650000050663948,1.1783112287521362,0.0,3.5778045654296875,-0.02219533920288086
highnlowk,660.0,3.48,0.00038,0.003617591540497337,4.179999828338623,3.676666498184204,0.0650000050663948,1.1783112287521362,0.0,3.501779556274414,0.021779537200927734
highnlowk,760.0,3.38,0.00027,0.0022321842538664317,3.8483331203460693,3.676666498184204,0.0650000050663948,1.1783112287521362,0.0,3.4473652839660645,0.06736516952514648
highnlowk,880.0,3.3,0.00019,0.0013565968276865014,3.5166666507720947,3.676666498184204,0.0650000050663948,1.1783112287521362,0.0,3.3946547508239746,0.09465479850769043
highnlowk,1020.0,3.24,0.00013,0.0008007981273856334,3.5166666507720947,3.676666498184204,0.0650000050663948,1.1783112287521362,0.0,3.407663345336914,0.1676633358001709
midkcurve,410.0,2.4,0.42,2.0,1.5266666412353516,2.683333158493042,1.5,-0.8454805016517639,0.0,2.4798660278320312,0.07986593246459961
midkcurve,470.0,2.33,0.36,2.0,1.5266666412353516,2.683333158493042,1.5,-0.8454805016517639,0.0,2.420304775238037,0.09030485153198242
midkcurve,530.0,2.29,0.31,2.0,1.5266666412353516,2.683333158493042,1.5,-0.8454805016517639,0.0,2.364304780960083,0.07430481910705566
midkcurve,610.0,2.26,0.24,2.0,1.8583333492279053,2.683333158493042,1.4666666984558105,-0.8454805016517639,0.0,2.330688714981079,0.07068872451782227
midkcurve,690.0,2.3,0.19,1.7301524758900306,2.18999981880188,2.683333158493042,1.4666666984558105,-0.8454805016517639,0.0,2.3323469161987305,0.03234696388244629
midkcurve,790.0,2.38,0.14,1.1134758772216988,2.5216665267944336,2.683333158493042,1.4333332777023315,-0.8454805016517639,0.0,2.280992269515991,-0.09900784492492676
midkcurve,920.0,2.5,0.1,0.6829549246934332,2.8533332347869873,2.683333158493042,1.4333332777023315,-0.8454805016517639,0.0,2.2514970302581787,-0.2485029697418213
