material,wavelength_nm,n_ref,k_ref,eta_target,mu_fit,rho_fit,eta_fit,material_bias,n_model,n_err
metalx,420.0,2.25,0.12,1.7951958020513101,0.53166663646698,2.683333158493042,1.4333332777023315,-0.2838461101055145,1.9007372856140137,-0.34926271438598633
metalx,500.0,2.05,0.55,2.0,0.20000000298023224,2.683333158493042,1.2333333492279053,-0.2838461101055145,2.004413366317749,-0.045586585998535156
metalx,580.0,1.88,1.05,2.0,0.20000000298023224,2.683333158493042,1.0,-0.2838461101055145,1.9158351421356201,0.0358351469039917
metalx,660.0,1.72,1.55,2.0,0.20000000298023224,2.683333158493042,0.8333333730697632,-0.2838461101055145,1.7970495223999023,0.07704949378967285
metalx,740.0,1.58,2.05,2.0,0.20000000298023224,2.683333158493042,0.7000000476837158,-0.2838461101055145,1.6750422716140747,0.09504222869873047
metalx,820.0,1.48,2.45,2.0,0.20000000298023224,2.683333158493042,0.6000000238418579,-0.2838461101055145,1.5671144723892212,0.08711445331573486
metalx,920.0,1.4,2.85,2.0,0.20000000298023224,2.683333158493042,0.5333333611488342,-0.2838461101055145,1.4998077154159546,0.0998077392578125
ultralowk,400.0,1.02,1e-10,1.5707963267948966e-09,0.20000000298023224,2.434999942779541,0.03333333507180214,-0.04749161750078201,1.0108394622802734,-0.009160518646240234
ultralowk,460.0,1.015,8e-11,1.0927278795094931e-09,0.20000000298023224,2.434999942779541,0.03333333507180214,-0.04749161750078201,1.0080779790878296,-0.006922006607055664
ultralowk,520.0,1.012,6e-11,7.24982920059183e-10,0.20000000298023224,2.434999942779541,0.01666666753590107,-0.04749161750078201,1.0059559345245361,-0.00604403018951416
ultralowk,600.0,1.01,4e-11,4.18879020478639e-10,0.20000000298023224,2.434999942779541,0.01666666753590107,-0.04749161750078201,1.0050876140594482,-0.004912376403808594
ultralowk,700.0,1.008,3e-11,2.692793703076965e-10,0.20000000298023224,2.434999942779541,0.01666666753590107,-0.04749161750078201,1.0064388513565063,-0.0015611648559570312
ultralowk,850.0,1.006,2.2e-11,1.6262361971523635e-10,0.20000000298023224,2.434999942779541,0.0,-0.04749161750078201,1.0132055282592773,0.007205486297607422
ultralowk,1000.0,1.005,1.8e-11,1.1309733552923252e-10,0.20000000298023224,2.434999942779541,0.0,-0.04749161750078201,1.026394248008728,0.02139425277709961
highnlowk,430.0,3.9,0.0009,0.013150852968515411,7.828332901000977,6.408332824707031,0.0833333358168602,0.007990598678588867,3.6526386737823486,-0.247361421585083
highnlowk,500.0,3.75,0.0007,0.00879645943005142,7.496665954589844,6.408332824707031,0.0833333358168602,0.007990598678588867,3.6017723083496094,-0.14822769165039062
highnlowk,580.0,3.6,0.0005,0.005416539057913436,7.164999485015869,6.159999370574951,0.06666667014360428,0.007990598678588867,3.529599666595459,-0.07040023803710938
highnlowk,660.0,3.48,0.00038,0.003617591540497337,7.164999485015869,5.911666393280029,0.05000000447034836,0.007990598678588867,3.504354476928711,0.02435445785522461
highnlowk,760.0,3.38,0.00027,0.0022321842538664317,6.8333330154418945,5.663332939147949,0.05000000447034836,0.007990598678588867,3.4414966106414795,0.06149649620056152
highnlowk,880.0,3.3,0.00019,0.0013565968276865014,6.8333330154418945,5.663332939147949,0.03333333507180214,0.007990598678588867,3.4500949382781982,0.15009498596191406
highnlowk,1020.0,3.24,0.00013,0.0008007981273856334,6.8333330154418945,5.663332939147949,0.01666666753590107,0.007990598678588867,3.470043420791626,0.2300434112548828
midkcurve,410.0,2.4,0.42,2.0,0.20000000298023224,2.683333158493042,1.4333332777023315,-0.1002269834280014,2.498129367828369,0.0981292724609375
midkcurve,470.0,2.33,0.36,2.0,0.20000000298023224,2.683333158493042,1.4333332777023315,-0.1002269834280014,2.4409704208374023,0.11097049713134766
midkcurve,530.0,2.29,0.31,2.0,0.20000000298023224,2.683333158493042,1.4333332777023315,-0.1002269834280014,2.387270450592041,0.09727048873901367
midkcurve,610.0,2.26,0.24,2.0,0.20000000298023224,2.683333158493042,1.4333332777023315,-0.1002269834280014,2.2994301319122314,0.03943014144897461
midkcurve,690.0,2.3,0.19,1.7301524758900306,0.53166663646698,2.683333158493042,1.3333332538604736,-0.1002269834280014,2.3191609382629395,0.019160985946655273
midkcurve,790.0,2.38,0.14,1.1134758772216988,0.8633332848548889,2.683333158493042,1.1999999284744263,-0.1002269834280014,2.263672351837158,-0.11632776260375977
midkcurve,920.0,2.5,0.1,0.6829549246934332,1.1949999332427979,2.683333158493042,1.1333332061767578,-0.1002269834280014,2.2513670921325684,-0.24863290786743164
